split,station,origin,run,origin_month,calendar_season,forecast_epoch,status,reason,detail,imputed_history_hours,target_observed_hours,scored_hours
train,42410099999,2024-04-01 06:00:00+00:00,2024-04-01 00:00:00+00:00,2024-04,MAM,ifs_49r1_hindcast,ready,,,11.0,46,46
train,43128599999,2024-04-01 06:00:00+00:00,2024-04-01 00:00:00+00:00,2024-04,MAM,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,46,0
train,43279099999,2024-04-01 06:00:00+00:00,2024-04-01 00:00:00+00:00,2024-04,MAM,ifs_49r1_hindcast,ready,,,0.0,48,48
train,42410099999,2024-04-09 06:00:00+00:00,2024-04-09 00:00:00+00:00,2024-04,MAM,ifs_49r1_hindcast,ready,,,6.0,43,43
train,43128599999,2024-04-09 06:00:00+00:00,2024-04-09 00:00:00+00:00,2024-04,MAM,ifs_49r1_hindcast,ready,,,7.0,45,45
train,43279099999,2024-04-09 06:00:00+00:00,2024-04-09 00:00:00+00:00,2024-04,MAM,ifs_49r1_hindcast,ready,,,0.0,48,48
train,42410099999,2024-04-17 06:00:00+00:00,2024-04-17 00:00:00+00:00,2024-04,MAM,ifs_49r1_hindcast,ready,,,6.0,43,43
train,43128599999,2024-04-17 06:00:00+00:00,2024-04-17 00:00:00+00:00,2024-04,MAM,ifs_49r1_hindcast,ready,,,6.0,39,39
train,43279099999,2024-04-17 06:00:00+00:00,2024-04-17 00:00:00+00:00,2024-04,MAM,ifs_49r1_hindcast,ready,,,0.0,40,40
train,42410099999,2024-04-25 06:00:00+00:00,2024-04-25 00:00:00+00:00,2024-04,MAM,ifs_49r1_hindcast,ready,,,7.0,46,46
train,43128599999,2024-04-25 06:00:00+00:00,2024-04-25 00:00:00+00:00,2024-04,MAM,ifs_49r1_hindcast,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,,46,0
train,43279099999,2024-04-25 06:00:00+00:00,2024-04-25 00:00:00+00:00,2024-04,MAM,ifs_49r1_hindcast,ready,,,8.0,48,48
train,42410099999,2024-05-03 06:00:00+00:00,2024-05-03 00:00:00+00:00,2024-05,MAM,ifs_49r1_hindcast,ready,,,12.0,35,35
train,43128599999,2024-05-03 06:00:00+00:00,2024-05-03 00:00:00+00:00,2024-05,MAM,ifs_49r1_hindcast,ready,,,13.0,45,45
train,43279099999,2024-05-03 06:00:00+00:00,2024-05-03 00:00:00+00:00,2024-05,MAM,ifs_49r1_hindcast,ready,,,2.0,48,48
train,42410099999,2024-05-11 06:00:00+00:00,2024-05-11 00:00:00+00:00,2024-05,MAM,ifs_49r1_hindcast,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,,45,0
train,43128599999,2024-05-11 06:00:00+00:00,2024-05-11 00:00:00+00:00,2024-05,MAM,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,43,0
train,43279099999,2024-05-11 06:00:00+00:00,2024-05-11 00:00:00+00:00,2024-05,MAM,ifs_49r1_hindcast,ready,,,3.0,48,48
train,42410099999,2024-05-19 06:00:00+00:00,2024-05-19 00:00:00+00:00,2024-05,MAM,ifs_49r1_hindcast,ready,,,6.0,46,46
train,43128599999,2024-05-19 06:00:00+00:00,2024-05-19 00:00:00+00:00,2024-05,MAM,ifs_49r1_hindcast,ready,,,11.0,47,47
train,43279099999,2024-05-19 06:00:00+00:00,2024-05-19 00:00:00+00:00,2024-05,MAM,ifs_49r1_hindcast,ready,,,1.0,47,47
train,42410099999,2024-05-27 06:00:00+00:00,2024-05-27 00:00:00+00:00,2024-05,MAM,ifs_49r1_hindcast,ready,,,4.0,45,45
train,43128599999,2024-05-27 06:00:00+00:00,2024-05-27 00:00:00+00:00,2024-05,MAM,ifs_49r1_hindcast,ready,,,7.0,47,47
train,43279099999,2024-05-27 06:00:00+00:00,2024-05-27 00:00:00+00:00,2024-05,MAM,ifs_49r1_hindcast,ready,,,1.0,48,48
train,42410099999,2024-06-04 06:00:00+00:00,2024-06-04 00:00:00+00:00,2024-06,JJA,ifs_49r1_hindcast,ready,,,7.0,46,46
train,43128599999,2024-06-04 06:00:00+00:00,2024-06-04 00:00:00+00:00,2024-06,JJA,ifs_49r1_hindcast,ready,,,6.0,45,45
train,43279099999,2024-06-04 06:00:00+00:00,2024-06-04 00:00:00+00:00,2024-06,JJA,ifs_49r1_hindcast,ready,,,0.0,48,48
train,42410099999,2024-06-12 06:00:00+00:00,2024-06-12 00:00:00+00:00,2024-06,JJA,ifs_49r1_hindcast,ready,,,14.0,46,46
train,43128599999,2024-06-12 06:00:00+00:00,2024-06-12 00:00:00+00:00,2024-06,JJA,ifs_49r1_hindcast,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,,47,0
train,43279099999,2024-06-12 06:00:00+00:00,2024-06-12 00:00:00+00:00,2024-06,JJA,ifs_49r1_hindcast,ready,,,0.0,48,48
train,42410099999,2024-06-20 06:00:00+00:00,2024-06-20 00:00:00+00:00,2024-06,JJA,ifs_49r1_hindcast,ready,,,5.0,45,45
train,43128599999,2024-06-20 06:00:00+00:00,2024-06-20 00:00:00+00:00,2024-06,JJA,ifs_49r1_hindcast,ready,,,9.0,42,42
train,43279099999,2024-06-20 06:00:00+00:00,2024-06-20 00:00:00+00:00,2024-06,JJA,ifs_49r1_hindcast,ready,,,0.0,48,48
train,42410099999,2024-06-28 06:00:00+00:00,2024-06-28 00:00:00+00:00,2024-06,JJA,ifs_49r1_hindcast,ready,,,7.0,46,46
train,43128599999,2024-06-28 06:00:00+00:00,2024-06-28 00:00:00+00:00,2024-06,JJA,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,40,0
